CODITEM,ITEM,LINEA,ANIO,SEMANA,DEMANDA,DEMANDA_T_1,DEMANDA_T_2,MEDIA_MOVIL_4,STD_4,ES_CRITICO,STOCK_MINIMO
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,1,5.0,5.0,8.0,5.75,1.3,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,1,8.0,6.0,1.0,5.75,2.86,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,1,4.0,3.0,10.0,4.75,3.11,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,1,2.0,5.0,7.0,5.0,1.87,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,1,5.0,6.0,8.0,5.75,1.48,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,1,9.0,6.0,3.0,5.75,2.17,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,1,5.0,7.0,5.0,7.0,2.45,True,15
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,2,1.0,1.0,1.0,1.0,0.0,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,2,6.0,6.0,6.0,6.0,0.0,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,2,5.0,5.0,5.0,5.0,0.0,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,2,6.0,6.0,6.0,6.0,0.0,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,2,7.0,7.0,7.0,7.0,0.0,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,2,3.0,3.0,3.0,3.0,0.0,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,2,9.0,9.0,9.0,9.0,0.0,True,15
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,3,7.0,1.0,1.0,4.0,3.0,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,3,7.0,6.0,6.0,6.5,0.5,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,3,8.0,5.0,5.0,6.5,1.5,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,3,4.0,6.0,6.0,5.0,1.0,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,3,6.0,7.0,7.0,6.5,0.5,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,3,6.0,3.0,3.0,4.5,1.5,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,3,6.0,9.0,9.0,7.5,1.5,True,15
30369,"TUBOS DE 2""",AASS,2025,4,3.0,2.0,9.0,3.75,3.593976442141304,True,9
30373,"CODOS DE 2"" X90",AASS,2025,4,4.0,21.0,30.0,14.25,13.524668819112232,True,36
30378,"REJILLA CROMADA DE 2""",AASS,2025,4,14.0,1.0,6.0,6.75,5.377421934967226,True,17
30433,"TEE ROSCABLE  DE 1/2""",AAPP,2025,4,10.0,2.0,16.0,8.5,5.972157622389639,True,21
30452,"NEPLO 1/2"" X 10 CM",AAPP,2025,4,4.0,7.0,5.0,5.5,1.2909944487358056,True,14
30512,TEFLON 19MM*02MM*15M,AAPP,2025,4,4.0,2.0,9.0,4.75,2.98607881119482,True,12
90001,CEMENTO PORTLAND TIPO GU,OBRA_GRIS,2025,4,4.0,7.0,1.0,4.0,2.45,True,25
90002,VARILLA DE ACERO 12mm,OBRA_GRIS,2025,4,6.0,7.0,6.0,6.33,0.47,True,18
90003,ARENA LAVADA m3,OBRA_GRIS,2025,4,7.0,8.0,5.0,6.67,1.25,True,12
90004,GRAVA 3/4 m3,OBRA_GRIS,2025,4,9.0,4.0,6.0,6.33,2.05,True,10
90005,BLOQUE HORMIGON 15cm,OBRA_GRIS,2025,4,7.0,6.0,7.0,6.67,0.47,True,60
90006,CABLE ELECTRICO THHN #12,ELECTRICO,2025,4,7.0,6.0,3.0,5.33,1.7,True,40
90007,"TUBERIA PVC SANITARIA 4""",AAPP,2025,4,3.0,6.0,9.0,6.0,2.45,True,15
30372,"CODOS DE 2"" X 45",AASS,2025,5,2.0,9.0,27.0,10.5,11.387127235025815,True,26
30378,"REJILLA CROMADA DE 2""",AASS,2025,5,14.0,14.0,1.0,8.75,6.3966136874651625,True,22
